country,top_customer_count,all_customer_count
Mexico,1,30
Turkey,1,15
China,1,53
United States,1,36
Indonesia,1,14
Argentina,0,13
Armenia,0,1
Austria,0,3
Azerbaijan,0,2
Bahrain,0,1
Bangladesh,0,3
Belarus,0,2
Bolivia,0,2
Brazil,0,28
Brunei,0,1
Bulgaria,0,2
Cambodia,0,2
Cameroon,0,2
Canada,0,5
Chad,0,1
Chile,0,3
Colombia,0,6
"Congo, The Democratic Republic of the",0,2
Czech Republic,0,1
Dominican Republic,0,3
Ecuador,0,3
Egypt,0,6
Estonia,0,1
Ethiopia,0,1
Faroe Islands,0,1
Finland,0,1
France,0,4
French Guiana,0,1
French Polynesia,0,2
Gambia,0,1
Germany,0,7
Greece,0,2
Greenland,0,1
Holy See (Vatican City State),0,1
Hong Kong,0,1
Hungary,0,1
India,0,60
Iran,0,8
Iraq,0,1
Israel,0,4
Italy,0,7
Japan,0,31
Kazakstan,0,2
Kenya,0,2
Kuwait,0,1
Latvia,0,2
Liechtenstein,0,1
Lithuania,0,1
Madagascar,0,1
Malawi,0,1
Malaysia,0,3
Moldova,0,1
Morocco,0,3
Mozambique,0,3
Myanmar,0,2
Nauru,0,1
Nepal,0,1
Netherlands,0,5
New Zealand,0,1
Nigeria,0,13
North Korea,0,1
Oman,0,2
Pakistan,0,5
Paraguay,0,3
Peru,0,4
Philippines,0,20
Poland,0,8
Puerto Rico,0,2
Romania,0,2
Runion,0,1
Russian Federation,0,28
Saint Vincent and the Grenadines,0,1
Saudi Arabia,0,5
Senegal,0,1
Slovakia,0,1
South Africa,0,11
South Korea,0,5
Spain,0,5
Sri Lanka,0,1
Sudan,0,2
Sweden,0,1
Switzerland,0,3
Taiwan,0,10
Tanzania,0,3
Thailand,0,3
Tonga,0,1
Tunisia,0,1
Turkmenistan,0,1
Tuvalu,0,1
Ukraine,0,6
United Arab Emirates,0,3
United Kingdom,0,9
Venezuela,0,7
Vietnam,0,6
"Virgin Islands, U.S.",0,1
Yemen,0,4
Yugoslavia,0,2
Afghanistan,0,1
Zambia,0,1
Algeria,0,3
American Samoa,0,1
Angola,0,2
Anguilla,0,1
